District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Norwalk School District,Brookside Elementary School,Public Schools,1030211,382 Highland Avenue,Norwalk,06854-3423,203-899-2830,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"382 Highland Avenue
Norwalk, CT 06854-3423
(41.090251017, -73.435608974)"
Wallingford School District,Parker Farms School,Public Schools,1480311,30 Parker Farms Road,Wallingford,06492-2972,203-294-6200,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1987-07-01T00:00:00.000,0,"30 Parker Farms Road
Wallingford, CT 06492-2972
(41.474801, -72.83608698)"
Torrington School District,Torrington Middle School,Public Schools,1435111,200 Middle School Rd.,Torrington,06790-3168,860-496-4050,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"200 Middle School Rd.
Torrington, CT 06790-3168
(41.833101, -73.070055988)"
Manchester School District,Martin School,Public Schools,0771611,140 Dartmouth Rd.,Manchester,06040-6616,860-647-3367,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"140 Dartmouth Rd.
Manchester, CT 06040-6616
(41.75430101, -72.51249204)"
Bristol School District,Chippens Hill Middle School,Public Schools,0175111,551 Peacedale St.,Bristol,06010-8939,860-584-3881,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"551 Peacedale St.
Bristol, CT 06010-8939
(41.699121013, -72.965251018)"
Groton School District,Robert E. Fitch High School,Public Schools,0596111,101 Groton Long Point Road,Groton,06340-4861,860-449-7200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"101 Groton Long Point Road
Groton, CT 06340-4861
(41.340276986, -72.012974029)"
Unified School District #1,Bridgeport Correctional Center,State Agency Facilities,3360115,1106 North Ave.,Bridgeport,06604-2710,475-225-9000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"1106 North Ave.
Bridgeport, CT 06604-2710
(41.189618982, -73.199602996)"
Orange School District,Peck Place School,Public Schools,1070511,500 Peck Ln.,Orange,06477-2948,203-891-8034,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Peck Ln.
Orange, CT 06477-2948
(41.266040984, -73.030593988)"
New London School District,Winthrop STEM Elementary Magnet School,Public Schools,0950811,74 Grove Street,New London,06320,860-447-6070,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,1,"74 Grove Street
New London, CT 06320
(41.36843402, -72.099651961)"
New Canaan School District,West School,Public Schools,0900311,769 Ponus Ridge,New Canaan,06840-3413,203-594-4410,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"769 Ponus Ridge
New Canaan, CT 06840-3413
(41.139925989, -73.521038002)"
Suffield School District,McAlister Intermediate School,Public Schools,1390311,260 Mountain Road,Suffield,06078,860-668-3830,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2004-07-01T00:00:00.000,0,"260 Mountain Road
Suffield, CT 06078
(41.983788542, -72.660010211)"
Waterbury School District,Waterbury School District,Public School Districts,1510011,"236 Grand Street, Chase Office Building",Waterbury,06702,203-574-8004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"236 Grand Street, Chase Office Building
Waterbury, CT 06702
(41.554687997, -73.043281004)"
Highville Charter School District,Highville Charter School,Public Charter Schools,2860113,1 Science Park,New Haven,06511,203-287-0528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-07-01T00:00:00.000,0,"1 Science Park
New Haven, CT 06511
(41.323449016, -72.926086994)"
Middletown School District,Farm Hill School,Public Schools,0830511,390 Ridge Rd.,Middletown,06457-4437,860-346-1225,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"390 Ridge Rd.
Middletown, CT 06457-4437
(41.538323002, -72.641098012)"
Montville School District,Leonard J. Tyl Middle School,Public Schools,0865111,166 Chesterfield Rd.,Oakdale,06370-1616,860-848-2822,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"166 Chesterfield Rd.
Oakdale, CT 06370-1616
(41.456769697, -72.17102475)"
Judicial Centers,AFIR-LISA'S House,State Agency Facilities,3482415,50 Bank Street,Plainville,06062,860-798-2477,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2023-12-18T00:00:00.000,,"50 Bank Street
Plainville, CT 06062
(41.665993384, -72.870358061)"
Regional School District 15,Pomperaug Regional High School,Regional Schools,2156212,234 Judd Rd.,Southbury,06488,203-262-3200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"234 Judd Rd.
Southbury, CT 06488
(41.500939001, -73.160868042)"
Regional School District 01,Housatonic Valley Regional High School,Regional Schools,2016112,246 Warren Turnpike Rd.,Falls Village,06031-1600,860-824-5123,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"246 Warren Turnpike Rd.
Falls Village, CT 06031-1600
(41.936804001, -73.362178976)"
Somers School District,Somers High School,Public Schools,1296111,5 Vision Boulevard,Somers,06071,860-749-2270,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"5 Vision Boulevard
Somers, CT 06071
(41.977016335, -72.459099318)"
Plainville School District,Plainville High School,Public Schools,1106111,47 Robert Holcomb Way,Plainville,06062,860-793-3220,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"47 Robert Holcomb Way
Plainville, CT 06062
(41.665873021, -72.858502033)"
Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,500 Vine St.,Hartford,06112,860-262-7175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,"500 Vine St.
Hartford, CT 06112
(41.796431011, -72.687597961)"
New Haven School District,Lincoln-Bassett School,Public Schools,0932011,130 Bassett St.,New Haven,06511,475-220-8500,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"130 Bassett St.
New Haven, CT 06511
(41.331064017, -72.931071042)"
Learn,The Friendship School,Regional Education Service Center Schools,2450214,24 Rope Ferry Rd.,Waterford,06385,860-447-4049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2005-07-01T00:00:00.000,1,"24 Rope Ferry Rd.
Waterford, CT 06385
(41.341008014, -72.133521974)"
Ridgefield School District,Scotland Elementary School,Public Schools,1180511,111 Barlow Mountain Rd.,Ridgefield,06877-1902,203-894-5825,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"111 Barlow Mountain Rd.
Ridgefield, CT 06877-1902
(41.323709558, -73.510484183)"
Meriden School District,Francis T. Maloney High School,Public Schools,0806111,121 Gravel St.,Meriden,06450-4611,203-238-2334,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"121 Gravel St.
Meriden, CT 06450-4611
(41.531623011, -72.772860021)"
Tolland School District,Tolland School District,Public School Districts,1420011,51 Tolland Grn,Tolland,06084-3030,860-870-6850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1984-07-01T00:00:00.000,0,"51 Tolland Grn
Tolland, CT 06084-3030
(41.871486009, -72.36941002)"
Groton School District,Mystic River Magnet School,Public Schools,0591311,160 Fish Town Rd,Mystic,06355,860-980-8300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2021-07-01T00:00:00.000,,"160 Fish Town Rd
Mystic, CT 06355
(41.347200983, -71.998201009)"
Westport School District,Coleytown Middle School,Public Schools,1585311,255 North Ave.,Westport,06880-1531,203-341-1610,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2020-12-28T00:00:00.000,0,"255 North Ave.
Westport, CT 06880-1531
(41.178720227, -73.349779178)"
Windsor Locks School District,South Elementary School,Public Schools,1650411,87 South St.,Windsor Locks,06096-2744,860-292-5021,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"87 South St.
Windsor Locks, CT 06096-2744
(41.919009011, -72.639075039)"
Franklin School District,Franklin School District,Public School Districts,0530011,206 Pond Road,North Franklin,06254,860-642-6113,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"206 Pond Road
North Franklin, CT 06254
(41.631544014, -72.126157969)"
East Haven School District,Grove J. Tuttle School,Public Schools,0441011,108 Prospect St.,East Haven,06512-3307,203-468-3315,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"108 Prospect St.
East Haven, CT 06512-3307
(41.27332599, -72.873619968)"
Capitol Region Education Council,Academy of International Studies Elementary School,Regional Education Service Center Schools,2410414,625 Chapel Road,South Windsor,06074,860-291-6001,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,1,"625 Chapel Road
South Windsor, CT 06074
(41.80551448, -72.596369159)"
New Britain School District,New Britain High School,Public Schools,0896111,110 Mill St.,New Britain,06051-3413,860-225-6300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"110 Mill St.
New Britain, CT 06051-3413
(41.649904992, -72.778069038)"
Shelton School District,Intermediate School,Public Schools,1265111,675 Constitution Blvd.,Shelton,06484-6038,203-926-2000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"675 Constitution Blvd.
Shelton, CT 06484-6038
(41.314380007, -73.119206965)"
Newington School District,Martin Kellogg Middle School,Public Schools,0945111,155 Harding Ave.,Newington,06111-1918,860-666-5418,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"155 Harding Ave.
Newington, CT 06111-1918
(41.708486994, -72.732628981)"
Preston School District,Preston Veterans' Memorial School,Public Schools,1140411,325 Shetucket Tpke.,Preston,06365,860-887-3113,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"325 Shetucket Tpke.
Preston, CT 06365
(41.529882006, -71.984029977)"
Regional School District 17,Haddam-Killingworth Middle School,Regional Schools,2175112,451 Route 81,Killingworth,06419,860-663-1241,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"451 Route 81
Killingworth, CT 06419
(41.385210986, -72.56190403)"
The Gilbert School District,The Gilbert School District,Endowed and Incorporated Academies Districts,9020022,200 Williams Avenue,Winsted,06098,860-379-6163,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"200 Williams Avenue
Winsted, CT 06098
(41.929696091, -73.071525127)"
Voluntown School District,Voluntown School District,Public School Districts,1470011,195 Main St.,Voluntown,06384,860-376-9167,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"195 Main St.
Voluntown, CT 06384
(41.574488986, -71.866429025)"
Common Ground High School District,Common Ground High School,Public Charter Schools,2686113,358 Springside Ave.,New Haven,06515,203-389-4333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1997-07-01T00:00:00.000,0,"358 Springside Ave.
New Haven, CT 06515
(41.337869997, -72.959082021)"
Griswold School District,Griswold School District,Public School Districts,0580011,211 Slater Avenue,Griswold,06351,860-376-7600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"211 Slater Avenue
Griswold, CT 06351
(41.59735398, -71.981599979)"
Norwich School District,Wequonnoc Magnet School,Public Schools,1041511,155 Providence St.,Taftville,06380-1150,860-823-4210,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"155 Providence St.
Taftville, CT 06380-1150
(41.569211991, -72.055239022)"
West Hartford School District,Sedgwick Middle School,Public Schools,1555211,128 Sedgwick Rd.,West Hartford,06107-3002,860-570-6500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"128 Sedgwick Rd.
West Hartford, CT 06107-3002
(41.751785014, -72.754955018)"
Wolcott School District,Wakelee School,Public Schools,1660511,12 Hempel Dr.,Wolcott,06716-1799,203-879-8154,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"12 Hempel Dr.
Wolcott, CT 06716-1799
(41.609860995, -73.010378011)"
Danbury School District,Danbury School District,Public School Districts,0340011,63 Beaver Brook Road,Danbury,06810,203-797-4701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"63 Beaver Brook Road
Danbury, CT 06810
(41.407308994, -73.426159971)"
North Haven School District,Ridge Road Elementary School,Public Schools,1010311,1341 Ridge Rd.,North Haven,06473-3005,203-248-4050,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1341 Ridge Rd.
North Haven, CT 06473-3005
(41.371231444, -72.896672254)"
Cooperative Educational Services,Six-Six Magnet School,Regional Education Service Center Schools,2430114,601 Pearl Harbor St.,Bridgeport,06610,203-365-8200,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000-07-01T00:00:00.000,1,"601 Pearl Harbor St.
Bridgeport, CT 06610
(41.204181208, -73.160332774)"
Regional School District 13,John Lyman School,Regional Schools,2130512,106 Way Rd.,Middlefield,06455-1059,860-349-7240,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"106 Way Rd.
Middlefield, CT 06455-1059
(41.518256013, -72.725241004)"
Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,1460 Broad St.,Hartford,06106,860-757-6100,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2000-07-01T00:00:00.000,1,"1460 Broad St.
Hartford, CT 06106
(41.749674995, -72.686807966)"
Connecticut Technical Education and Career System,W. F. Kaynor Technical High School,CT Technical Education and Career Schools,9002316,43 Tompkins St.,Waterbury,06708-1416,203-596-4302,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"43 Tompkins St.
Waterbury, CT 06708-1416
(41.575616017, -73.066552017)"
Salisbury School District,Salisbury Central School,Public Schools,1220111,"45 Lincoln City Road, P.O. Box 1808",Lakeville,06039-1711,860-435-9871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"45 Lincoln City Road, P.O. Box 1808
Lakeville, CT 06039-1711
(41.970814728, -73.439232547)"
Wethersfield School District,Highcrest School,Public Schools,1591111,95 Highcrest Rd.,Wethersfield,06109-4030,860-571-8380,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"95 Highcrest Rd.
Wethersfield, CT 06109-4030
(41.679698006, -72.68381504)"
Killingly School District,Killingly Intermediate School,Public Schools,0695211,1599 Upper Maple St.,Dayville,06241-1543,860-779-6700,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,0,"1599 Upper Maple St.
Dayville, CT 06241-1543
(41.851447016, -71.897543991)"
Avon School District,Avon School District,Public School Districts,0040011,34 Simsbury Road,Avon,06001,860-404-4700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"34 Simsbury Road
Avon, CT 06001
(41.811943986, -72.829772976)"
Regional School District 18,Lyme-Old Lyme High School,Regional Schools,2186112,69 Lyme St.,Old Lyme,06371-2335,860-434-1651,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"69 Lyme St.
Old Lyme, CT 06371-2335
(41.320100991, -72.328737002)"
Derby School District,Irving School,Public Schools,0370411,9 Garden Place,Derby,06418-1416,203-736-5043,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"9 Garden Place
Derby, CT 06418-1416
(41.327723996, -73.088133993)"
Windsor School District,John F. Kennedy School,Public Schools,1640811,530 Park Ave.,Windsor,06095-3225,860-687-2060,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"530 Park Ave.
Windsor, CT 06095-3225
(41.83749098, -72.674922008)"
Hartford School District,Pathways Academy of Technology and Design,Public Schools,0646611,2 Pent Road,East Hartford,06118,860-695-9450,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2003-07-01T00:00:00.000,1,"2 Pent Road
East Hartford, CT 06118
(41.740381015, -72.63439098)"
Bridgeport School District,Black Rock School,Public Schools,0150311,545 Brewster St.,Bridgeport,06605-3409,203-576-7500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"545 Brewster St.
Bridgeport, CT 06605-3409
(41.156507992, -73.225888979)"
Integrated Day Charter School District,Integrated Day Charter School District,Public Charter School Districts,2640013,68 Thermos Ave.,Norwich,06360,860-892-1900,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1999-07-01T00:00:00.000,0,"68 Thermos Ave.
Norwich, CT 06360
(41.509963, -72.077829005)"
Hartford School District,Burns Latino Studies Academy,Public Schools,0640611,195 Putnam Street,Hartford,06106-1328,860-695-2980,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"195 Putnam Street
Hartford, CT 06106-1328
(41.760755997, -72.691216009)"
Danbury School District,Pembroke School,Public Schools,0341511,34 1/2 Pembroke Rd.,Danbury,06811-2956,203-797-4751,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"34 1/2 Pembroke Rd.
Danbury, CT 06811-2956
(41.436902979, -73.474017034)"
New Milford School District,Sarah Noble Intermediate School,Public Schools,0960911,25 Sunny Valley Rd.,New Milford,06776-3333,860-210-4020,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2001-07-01T00:00:00.000,0,"25 Sunny Valley Rd.
New Milford, CT 06776-3333
(41.563376007, -73.418147961)"
Columbia School District,Columbia School District,Public School Districts,0300011,3 Schoolhouse Road,Columbia,06237,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"3 Schoolhouse Road
Columbia, CT 06237
(41.703283334, -72.299803392)"
Vernon School District,Northeast School,Public Schools,1460311,69 East St.,Rockville,06066-3837,860-870-6080,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"69 East St.
Rockville, CT 06066-3837
(41.861505006, -72.431237033)"
North Branford School District,North Branford High School,Public Schools,0996111,49 Caputo Rd.,North Branford,06471-1021,203-484-1465,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"49 Caputo Rd.
North Branford, CT 06471-1021
(41.33506998, -72.800949036)"
Stafford School District,Stafford Elementary School,Public Schools,1340611,11 Levinthal Run,Stafford Springs,06076,860-684-6677,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2007-07-01T00:00:00.000,0,"11 Levinthal Run
Stafford Springs, CT 06076
(41.971448, -72.301605033)"
Litchfield School District,Litchfield Middle School,Public Schools,0746011,14 Plumb Hill Road,Litchfield,06759-0110,860-567-7540,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2015-09-02T00:00:00.000,,"14 Plumb Hill Road
Litchfield, CT 06759-0110
(41.740157009, -73.205820021)"
Capitol Region Education Council,Discovery Academy,Regional Education Service Center Schools,2418114,176 Cumberland Avenue,Wethersfield,06109,860-296-2090,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2011-08-30T00:00:00.000,1,"176 Cumberland Avenue
Wethersfield, CT 06109
(41.719955994, -72.675377984)"
Naugatuck School District,Hop Brook Elementary School,Public Schools,0880511,75 Crown Street,Naugatuck,06770,203-720-5231,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Crown Street
Naugatuck, CT 06770
(41.502171015, -73.055435015)"
Wilton School District,Cider Mill School,Public Schools,1610711,240 School Rd.,Wilton,06897-2507,203-762-3351,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"240 School Rd.
Wilton, CT 06897-2507
(41.206052237, -73.430899702)"
Trumbull School District,Jane Ryan School,Public Schools,1440411,190 Park Ln.,Trumbull,06611-2399,203-452-4400,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"190 Park Ln.
Trumbull, CT 06611-2399
(41.254667999, -73.227399985)"
Canaan School District,Lee H. Kellogg School,Public Schools,0210111,47 Main St.,Falls Village,06031,860-824-7791,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"47 Main St.
Falls Village, CT 06031
(41.955409982, -73.359255033)"
Groton School District,Catherine Kolnaski Magnet School,Public Schools,0592011,500 Poquonnock Rd.,Groton,06340,860-449-5608,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-01-07T00:00:00.000,0,"500 Poquonnock Rd.
Groton, CT 06340
(41.347565009, -72.061842034)"
Milford School District,Meadowside School,Public Schools,0840711,80 Seeman's Ln.,Milford,06460-4337,203-783-3555,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"80 Seeman's Ln.
Milford, CT 06460-4337
(41.211426012, -73.073975031)"
Enfield School District,John F. Kennedy Middle School,Public Schools,0495211,155 Raffia Rd.,Enfield,06082-5679,860-763-8855,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"155 Raffia Rd.
Enfield, CT 06082-5679
(41.957580015, -72.561131973)"
Wallingford School District,Pond Hill School,Public Schools,1481211,299 Pond Hill Road,Wallingford,06492-5319,203-294-6230,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"299 Pond Hill Road
Wallingford, CT 06492-5319
(41.41861002, -72.819176993)"
Achievement First Hartford Academy District,Achievement First Hartford Academy District,Public Charter School Districts,2880013,370 James Street,New Haven,06513,860-695-5280,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2008-08-26T00:00:00.000,0,"370 James Street
New Haven, CT 06513
(41.313263998, -72.904276025)"
Regional School District 04,Regional School District 04,Regional School Districts,2040012,1 Winthrop Road,Deep River,06417,860-526-2417,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.363604996, -72.456837964)"
Regional School District 16,Prospect Elementary School,Regional Schools,2160512,75 New Haven Road,Prospect,06712,203-578-3300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2015-08-31T00:00:00.000,,"75 New Haven Road
Prospect, CT 06712
(41.491752016, -72.971837014)"
